_id,head,normalized_head
809,qa0lib2wag0,alibwag
810,qa0lib2yu0,alibyu
811,qa0lid2qan0,alid-an
812,qa0lid2qi0,alid-i
813,qa0lig0qa0lig1,alig-alig
814,qa0li0ga0si0yun1,aligasiyun
815,qa0li0ga0tu1,aligatu
816,qa0li0ga2ya0,aligaya
817,qa0li0gi1,aligi
818,qa0lig2qig0,alig-ig
819,qi0na0lig0qi2gay0,inalig-igay
820,qa0lig0qi0gun1,alig-igun
821,qa0lig0qi0gu0nun1,alig-igunun
822,qa0lig2ri0,aligri
823,qa0lig0ri0hun1,aligrihun
824,qa0li0gu0ri2ya0,aliguriya
825,qa0li0gut2gut0,aligutgut
826,qa0li0gut2gut0,aligutgut
827,ka0qa0li0gut2gut0,kaaligutgut
828,qa0li0hid1,alihid
829,qa0li2qid0,aliid
830,qa0li0ka0bu1,alikabu
831,qa0li0ka2si0,alikasi
832,qa0li0ka2ti0,alikati
834,qa0li0ku2muq0,alikumu
835,qa0li0kun1,alikun
836,qa0lik2way0,alikway
837,qa0li2li0,alili
838,qa0li2liŋ0,aliling
839,qa0li2lis0,alilis
840,qa0li0lu2ya0,aliluya
841,qa0li0lu2yuk0,aliluyuk
842,qa2lim0,alim
843,pa0qa2lim0,paalim
844,qa2lim0,alim
845,qa0li2ma0,alima
846,qa0li0mad2mad0,alimadmad
847,qa0li0man1,aliman
848,qa0li0ma2ŋu0,alimangu
849,qa0li0ma0ŋu0hun1,alimanguhun
850,qA0li0man2ya0,alimanya
851,qa0li0ma2sa0,alimasa
852,pa0ŋa0li0ma2sa0,pangalimasa
853,qa0li0ma2sag0,alimasag
854,qa0li0mat2mat0,alimatmat
855,qa0li0ma2tuk0,alimatuk
856,ka0qa0li0ma2tuk0,kaalimatuk
857,qa0li0ma0tu0kan1,alimatukan
858,qa0qimb0ril2yu0,alimbrilyu
859,qa0lim0bu2kad0,alimbukad
860,qa0lim2gas0,alimgas
861,qa0lim0ga0san1,alimgasan
862,qa0lim2gat0,alimgat
863,qa0lim0pa0ta0kan1,alimpatakan
864,qa0lim0pu2lu0,alimpulu
865,qa0lim0pu0lu2han0,alimpuluhan
866,ki0na0qa0lim0pu0lu0han1,kinaalimpuluhan
867,qa0lim0pu2lus0,alimpulus
868,qa0lim0pu0yaŋ1,alimpuyang
869,qa0lim0pu0yas1,alimpuyas
870,qa0lim0pu0yiŋ1,alimpuying
871,qa0li0mug2mug0,alimugmug
872,qa0li0mu2kaw0,alimukaw
873,qa0li0mu2kun0,alimukun
874,qa0li0mu2ŋaw0,alimungaw
