head,modified_head
alikáti,li0ká2ti0
alikúmuq,li0kú2muq0
alikún,li0kún1
alíkway,lík2way0
alíli,lí2li0
alíliŋ,lí2liŋ0
alílis,lí2lis0
alilúya,li0lú2ya0
alilúyuk,li0lú2yuk0
álim,lim0
paálim,pa0qaáqim0
álim,lim0
alíma,lí2ma0
alimádmad,li0mád2mad0
alimán,li0mán1
alimáŋu,li0má2ŋu0
alimaŋuhún,li0ma0ŋu0hún1
Alimánya,li0mán2ya0
alimása,li0má2sa0
paŋalimása,pa0ŋa0li0má2sa0
alimásag,li0má2sag0
alimátmat,li0mát2mat0
alimátuk,li0má2tuk0
kaalimátuk,ka0qaa0li0má2quk0
alimatukán,li0ma0tu0kán1
alimbrílyu,qimb0ríl2yu0
alimbúkad,lim0bú2kad0
alímgas,lím2gas0
alimgasán,lim0ga0sán1
alímgat,lím2gat0
alimpatakán,lim0pa0ta0kán1
alimpúlu,lim0pú2lu0
alimpulúhan,lim0pu0lú2han0
kinaalimpuluhán,ki0na0qaa0lim0pu0lu0qán
alimpúlus,lim0pú2lus0
alimpuyáŋ,lim0pu0yáŋ1
alimpuyás,lim0pu0yás1
alimpuyíŋ,lim0pu0yíŋ1
alimúgmug,li0múg2mug0
alimúkaw,li0mú2kaw0
alimúkun,li0mú2kun0
alimúŋaw,li0mú2ŋaw0
alimuŋáwuŋ,li0mu0ŋá2wuŋ0
alimúsan,li0mú2san0
alimúut,li0mú2qut0
alímyun,lím2yun0
paŋalímyun,pa0ŋa0lím2yun0
alindáhaw,lin0dá2haw0
alindánaw,lin0dá2naw0
alindáŋa,lin0dá2ŋa0
alindáŋay,lin0dá2ŋay0
alindasáy,lin0da0sáy1
aliŋá,li0ŋá1
aliŋábŋab,li0ŋáb2ŋab0
aliŋágŋag,li0ŋág2ŋag0
aliŋagŋagán,li0ŋag0ŋa0gán1
aliŋása,li0ŋá2sa0
kaaliŋása,ka0qaa0li0ŋá2qa0
aliŋása,li0ŋá2sa0
kaaliŋása,ka0qaa0li0ŋá2qa0
aliŋásu,li0ŋá2su0
aliŋasúhun,li0ŋa0sú2hun0
aliŋáwŋaw,li0ŋáw2ŋaw0
paaliŋáwŋaw,pa0qaa0li0ŋáw2qaw0
aliŋáwŋaw,li0ŋáw2ŋaw0
aliŋgánay,liŋ0gá2nay0
alíŋgat,líŋ2gat0
